2013/3/1,70,174,17,50
2013/3/2,170,170,23,67
2013/3/3,32,210,30,138
2013/3/4,31,216,31,150
2013/3/5,54,247,36,184
2013/3/6,72,247,36,169
2013/3/7,95,247,39,111
2013/3/8,151,189,39,114
2013/3/9,107,189,17,153
2013/3/10,144,190,17,55
2013/3/11,127,190,17,94
2013/3/12,55,190,25,129
2013/3/13,31,184,25,145
2013/3/14,60,184,60,114
2013/3/15,99,184,32,43
2013/3/16,124,166,32,92
2013/3/17,152,204,32,167
2013/3/18,111,204,28,69
2013/3/19,44,204,28,134
2013/3/20,91,184,27,55
2013/3/21,166,166,27,42
2013/3/22,27,145,27,71
2013/3/23,34,160,34,138
2013/3/24,53,160,15,33
2013/3/25,42,160,15,56
2013/3/26,74,127,15,36
2013/3/27,127,127,26,63
2013/3/28,37,102,36,52
2013/3/29,58,94,30,77
2013/3/30,38,112,30,57
2013/3/31,62,112,30,73
2013/4/1,49,112,41,56
2013/4/2,85,108,43,91
2013/4/3,69,108,24,24
2013/4/4,71,108,18,60
2013/4/5,59,88,18,73
2013/4/6,84,88,18,63
2013/4/7,25,90,25,70
2013/4/8,60,90,48,65
2013/4/9,60,100,41,85
2013/4/10,68,162,41,93
2013/4/11,85,162,34,68
2013/4/12,81,162,34,88
2013/4/13,67,132,34,52
2013/4/14,102,132,34,63
2013/4/15,70,117,22,86
2013/4/16,84,117,22,38
2013/4/17,55,86,22,49
2013/4/18,47,86,17,26
2013/4/19,86,86,17,72
2013/4/20,46,177,17,128
2013/4/21,64,177,38,47
2013/4/22,61,177,22,30
2013/4/23,74,141,22,69
2013/4/24,121,121,22,61
2013/4/25,49,106,31,79
2013/4/26,33,122,33,102
2013/4/27,70,122,23,29
2013/4/28,76,122,18,50
2013/4/29,78,108,18,67
2013/4/30,99,99,18,81
